№ анкеты,"1) Оцените, в какой мере оправдались Ваши ожидания, связанные с выбором образовательной программы",2) Оцените достаточность полученных теоретических знаний и приобретенных умений и навыков для осуществления эффективной профессиональной деятельности,"3) Оцените соответствие целей, результатов обучения по ОП содержанию ОП (подбор дисциплин, кол-во кредитов, методы обучения, процедуры оценивания и т.п)","4) Оцените качество профессорско-преподавательского состава (знания и квалификация ППС, педагогические качества, объективность оценивания и др.)","5) Оцените качество материально-технической ресурсов необходимой для реализации ОП (здания и сооружения, состояние аудиторного фонда, обеспеченность лабораторным оборудованием и т.д.)","6) Оцените наличие, качество и достаточность учебной и учебно-методической литературы по дисциплинам ОП (учебников, учебно-методических пособий, методических рекомендаций по выполнению заданий СРО, курсовых и дипломных работ и т.д.)","7) Оцените удовлетворенность электронной информационно-образовательной средой (широкополосного доступа в Интернет, системами Moodle, Platonus, электронной библиотеки и др.)","8) Оцените качество организации, проведения и содержание профессиональных практик","9) Как Вы считаете, на сколько соответствуют знания, умения и навыки, полученные обучающимися при освоении образовательной программы, оценке, полученной на итоговой аттестации (при защите дипломной работы / комплексного экзамена)","Ваши пожелания и предложения
",Язык,Длина,Тональность_класс
10497,10,8,10,10,8,7,10,10,10,"формат практики удобный, инструкции доходчиво и по делу., между прочим (529)",ru,medium,positive
10498,9,8,8,8,9,7,7,10,9,"мини‑проекты и хакатоны помогают закреплять темы. программа выглядит по современным требованиям, стоит подумать усилить практику и кейсы!",ru,long,positive
10499,10,7,8,10,7,9,8,9,9,"процессы выстроены, логистика прозрачна, по факту мини‑проекты и задания помогают.",ru,medium,positive
10500,9,10,10,10,9,7,10,10,9,"оқытушылар жедел жауап береді, түсіндіру айқын. (908)",kz,short,positive
10501,1,4,3,4,3,2,3,3,4,"маловато практики и разборов, мало кейсы, кроме того мини‑проекты и задания помогают.",ru,medium,negative
10502,6,6,8,8,6,7,9,8,7,"объясняют наглядно, делятся опытом и лайфхаками, стоит подумать усилить практику и примеры!",ru,medium,positive
10503,8,8,8,8,7,9,6,8,8,"материалдар реттелген, электронды платформа ыңғайлы. оқу жайлы, әсері жақсы, кейде кеңес алу оңай, соңында мини‑жобалар пайдалы.",kz,long,positive
10504,3,5,3,6,5,1,1,5,4,"не хватает практики и разборов, мало разборы ситуаций, айтпақшы практика жетіспеушілік, нақты жағдайлар аз…",mixed,medium,negative
10505,7,8,6,7,8,9,8,6,9,"оқытушылар жедел жауап береді, түсіндіру түсінікті. оқу жайлы, әсері жақсы, күшейтсе жақсы практиканы және мысалдар күшейту!",kz,long,positive
10506,8,8,10,8,9,10,8,10,10,"зертханалар ұқыпты, тренажер тұрақты жұмыс істейді!",kz,short,positive
10507,6,7,8,9,8,8,7,9,8,"расписание без накладок, обратная связь понятная, стоит подумать усилить практику и разборы ситуаций.",ru,medium,positive
10508,1,4,1,2,3,1,3,1,2,"практика жетіспейді, нақты жағдайлар аз, кейде очереди в лабораториях, времени не хватает, можно усилить практика/жабдықтар бойынша күшейту…",mixed,long,negative
10509,5,7,8,8,7,7,6,7,8,"өзгерістер болады, алдын ала хабарлайды. ерекше ескертулер жоқ, сонымен қатар кеңес алу оңай, кейде кеңес алу оңай.",kz,long,neutral
10510,9,8,10,8,8,8,8,10,8,"расписание без накладок, уведомления понятная, имеет смысл усилить практику и разборы ситуаций.",ru,medium,positive
10511,5,5,5,6,9,7,6,5,6,"жабдықтар орташа, тренажерлер қолжетімді. ерекше ескертулер жоқ, болғаны дұрыс практиканы және мысалдар күшейту, сонымен қатар мини‑жобалар пайдалы…",kz,long,neutral
10512,10,9,8,9,8,9,10,9,10,"оқытушылар жедел жауап береді, түсіндіру түсінікті, кейде мини‑жобалар пайдалы.",kz,medium,positive
10513,10,7,10,8,8,6,7,6,6,"процестер жүйелі, логистика айқын, при этом процессы выстроены, логистика прозрачна.",mixed,medium,positive
10514,8,4,5,8,7,7,6,7,7,"практика бар, қалыпты формат, қарастырған жөн практиканы және жағдайлар күшейту",kz,medium,neutral
10515,8,10,8,10,10,10,8,10,8,"преподаватели вовлечены, отвечают без задержек. консультации доступны, уведомления прозрачная, замечу мини‑проекты и задания помогают.",ru,long,positive
10516,3,5,5,7,7,6,5,5,7,"материалдар уақытында жүктеледі, кейде кешігеді. барлығы бірқалыпты, кейде кеңес алу оңай, соңында кеңес алу оңай…",kz,long,neutral
10517,10,10,10,10,8,10,9,10,10,"оқытушылар жедел жауап береді, түсіндіру айқын, болғаны дұрыс практиканы және кейстер күшейту!",kz,medium,positive
10518,9,7,8,10,9,9,8,9,9,"мини‑жобалар тақырыптарды бекітеді, жалпы формат практики удобный, инструкции понятно и по делу, при этом жобалар/проекттер пайдалы!",mixed,long,positive
10519,7,7,5,6,5,5,4,4,6,"тәсілдер әртүрлі, жалпы айқын. ерекше ескертулер жоқ, айтпақшы мини‑жобалар пайдалы, жақсы болар еді практиканы және мысалдар күшейту.",kz,long,neutral
10520,5,5,6,6,7,4,7,8,7,"рабочая рутина, всё стабильно. рабочая рутина, всё стабильно, хотелось бы усилить практику и кейсы, в итоге мини‑проекты и задания помогают",ru,long,neutral
10521,6,8,8,7,8,9,9,10,8,"процессы выстроены, логистика прозрачна, замечу мини‑проекты и задания помогают.",ru,medium,positive
10522,10,9,9,10,9,10,10,9,10,"тәжірибеде мысалдар жеткілікті, индустриямен байланыс бар, сонымен қатар кеңес алу оңай.",kz,medium,positive
10523,6,6,7,6,6,6,8,5,5,"өзгерістер болады, алдын ала хабарлайды, қоса переносы бывают, уведомляют заранее, кейде жобалар/проекттер пайдалы, в целом жобалар/проекттер пайдалы.",mixed,long,neutral
10524,6,3,7,6,4,6,4,6,3,"рабочая рутина, всё стабильно, кейде барлығы бірқалыпты.",mixed,medium,neutral
10525,9,10,10,10,10,10,10,10,9,"тәжірибеде жағдайлар жеткілікті, индустриямен байланыс бар. формат ыңғайлы, нұсқаулықтар нақты берілген, сонымен қатар мини‑жобалар пайдалы.",kz,long,positive
10526,8,7,7,10,8,8,9,9,9,"процессы выстроены, логистика прозрачна, хотелось бы усилить практику и разборы ситуаций.",ru,medium,positive
10527,3,2,2,2,3,1,1,1,2,"очереди в лабораториях, времени не хватает, по итогу мини‑проекты и задания помогают.",ru,medium,negative
10528,1,1,1,1,1,1,1,3,1,"в сетку занятий бывают окна и накладки. ожидания оправдались не полностью, хотелось бы усилить практику и кейсы.",ru,long,negative
10529,1,4,2,3,1,1,3,1,3,"очереди в лабораториях, времени не хватает, кроме того мини‑проекты и задания помогают…",ru,medium,negative
10530,6,6,5,3,5,6,6,6,5,"практика бар, қалыпты формат. зертханалық жұмыстар кесте бойынша, кейде кеңес алу оңай, айтпақшы кеңес алу оңай.",kz,long,neutral
10531,9,9,9,8,10,9,10,8,9,"формат ыңғайлы, нұсқаулықтар түсінікті берілген, соңында кеңес алу оңай.",kz,medium,positive
10532,10,10,10,10,8,10,10,6,10,"кеңес алу оңай, байланыс ашық. бағдарлама актуалды көрінеді, болғаны дұрыс практиканы және мысалдар күшейту, егер қысқаша кеңес алу оңай!",kz,long,positive
10533,8,10,9,9,10,10,10,10,10,"процестер жүйелі, логистика айқын, қоса процессы выстроены, логистика прозрачна, имеет смысл практика/жабдықтар бойынша күшейту!",mixed,long,positive
10534,10,10,8,8,8,10,9,10,10,"консультации доступны, обратная связь прозрачная, при этом коммуникация работают стабильно.",ru,medium,positive
10535,9,10,10,10,10,8,8,9,9,"преподаватели вовлечены, отвечают без задержек, между прочим мини‑проекты и задания помогают.",ru,medium,positive
10536,8,10,8,10,9,8,10,9,8,"на практике много примеры, привязка к задачам отрасли есть. программа выглядит под рынок, можно усилить усилить практику и разборы ситуаций.",ru,long,positive
10537,9,10,9,7,8,10,7,10,8,"кеңес алу оңай, байланыс ашық, жалпы объясняют наглядно, делятся опытом и лайфхаками.",mixed,medium,positive
10538,7,9,7,5,7,7,10,8,6,"барлығы бірқалыпты, кейде кеңес алу оңай, кейде мини‑жобалар пайдалы.",kz,medium,neutral
10539,4,4,4,2,5,3,4,3,4,"рабочая рутина, всё стабильно., в итоге (214)",ru,short,neutral
10540,7,9,9,6,8,9,9,9,7,"формат практики удобный, инструкции понятно и по делу!, по итогу (632)",ru,medium,positive
10541,7,9,9,10,10,10,9,10,8,"оқытушылар жедел жауап береді, түсіндіру түсінікті, кейде преподаватели вовлечены, отвечают вовремя!",mixed,medium,positive
10542,7,8,7,8,7,9,7,8,9,"өзгерістер болады, алдын ала хабарлайды, қоса переносы бывают, уведомляют заранее, при этом жобалар/проекттер пайдалы",mixed,long,neutral
10543,8,9,8,8,8,10,7,8,7,"консультации доступны, обратная связь прозрачная. (636)",ru,short,positive
10544,3,8,3,5,4,6,6,6,4,"барлығы бірқалыпты, болғаны дұрыс практиканы және мысалдар күшейту",kz,medium,neutral
10545,10,9,8,10,9,10,10,9,10,"жоспар тұрақты, хабарлау түсінікті, кейде кеңес алу оңай.",kz,medium,positive
10546,10,10,10,10,10,10,10,9,8,"презентациялар дер кезінде беріледі, кейде мини‑жобалар пайдалы.",kz,medium,positive
10547,8,9,8,10,9,8,8,8,7,"консультации доступны, коммуникация прозрачная. (263)",ru,short,positive
10548,8,6,8,7,8,8,7,8,8,"сетку занятий без накладок, коммуникация понятная, в итоге мини‑проекты и задания помогают!",ru,medium,positive
10549,9,10,10,10,10,9,10,10,9,"объясняют понятно, делятся опытом и лайфхаками. консультации доступны, уведомления прозрачная, в целом коммуникация работают стабильно.",ru,long,positive
10550,3,3,1,1,1,1,4,1,2,тренажер ескі жаңарту керек кейде по…,mixed,short,negative
10551,8,9,10,10,9,7,10,7,10,"преподаватели вовлечены, отвечают вовремя, замечу коммуникация работают стабильно.",ru,medium,positive
10552,6,4,5,4,3,4,7,5,3,"без особых замечаний. без особых замечаний, кроме того мини‑проекты и задания помогают, по итогу мини‑проекты и задания помогают…",ru,long,neutral
10553,5,6,5,7,9,6,6,6,5,"материалдар уақытында жүктеледі, кейде кешігеді, соңында мини‑жобалар пайдалы.",kz,medium,neutral
10554,1,1,2,1,3,4,4,2,3,"очереди в лабораториях, времени не хватает, при этом уведомления работают стабильно.",ru,medium,negative
10555,8,7,7,5,8,8,7,9,8,"на практике много примеры, привязка к задачам индустрии есть., в целом (703)",ru,medium,positive
10556,8,8,7,7,6,5,8,5,7,"переносы бывают, уведомляют заранее. переносы бывают, уведомляют заранее, в целом коммуникация работают стабильно, по факту мини‑проекты и задания помогают",ru,long,neutral
10557,10,10,10,10,10,9,10,10,10,"формат практики удобный, инструкции понятно и по делу, айтпақшы мини‑жобалар тақырыптарды бекітеді!",mixed,medium,positive
10558,7,6,8,6,7,6,6,6,7,без особых замечаний… (168),ru,short,neutral
10559,8,8,6,6,6,7,7,8,7,"барлығы бірқалыпты, қоса без особых замечаний, стоит подумать практика/жабдықтар бойынша күшейту…",mixed,medium,neutral
10560,9,7,7,7,8,9,8,8,6,"презентациялар уақытында беріледі, айтпақшы презентации и кейсы приходят точно по графику.",mixed,medium,positive
10561,9,8,9,7,8,10,10,9,9,"консультации доступны, уведомления прозрачная. преподаватели вовлечены, отвечают оперативно, при этом обратная связь работают стабильно, замечу уведомления работают стабильно.",ru,long,positive
10562,9,8,6,8,10,10,9,7,8,"кесте тұрақты, хабарлау түсінікті. процестер жүйелі, логистика айқын, күшейтсе жақсы практиканы және мысалдар күшейту, жалпы мини‑жобалар пайдалы.",kz,long,positive
10563,4,6,9,6,6,4,6,7,5,"өзгерістер болады, алдын ала хабарлайды. өзгерістер болады, алдын ала хабарлайды, қарастырған жөн практиканы және кейстер күшейту",kz,long,neutral
10564,8,10,9,6,9,8,7,7,6,"на практике много примеры, привязка к задачам отрасли есть. учиться комфортно, впечатления позитивные, можно усилить усилить практику и разборы ситуаций!",ru,long,positive
10565,6,5,5,7,6,6,6,8,7,"практика бар, қалыпты формат. ерекше ескертулер жоқ, соңында кеңес алу оңай, кейде кеңес алу оңай",kz,long,neutral
10566,2,2,2,2,3,3,3,1,1,"зертханада кезек, уақыт тапшы., айтпақшы (562)",kz,short,negative
10567,9,9,9,10,9,8,9,10,9,"процестер жүйелі, логистика айқын., егер қысқаша (732)",kz,short,positive
10568,10,8,8,10,9,8,9,10,8,"преподаватели вовлечены, отвечают оперативно, между прочим мини‑проекты и задания помогают.",ru,medium,positive
10569,7,5,4,5,4,5,7,5,6,ерекше ескертулер жоқ. (214),kz,short,neutral
10570,9,8,8,8,8,10,9,10,7,"преподаватели вовлечены, отвечают оперативно, можно усилить усилить практику и кейсы!",ru,medium,positive
10571,1,3,3,2,2,2,1,2,4,"поздние уведомления, не всегда успеваем.",ru,short,negative
10572,8,10,9,9,9,7,9,7,9,"процессы выстроены, логистика прозрачна, при этом коммуникация работают стабильно.",ru,medium,positive
10573,5,4,5,5,5,6,7,5,4,"рабочая рутина, всё стабильно, хотелось бы усилить практику и кейсы",ru,medium,neutral
10574,10,9,8,9,9,10,10,9,9,"консультации доступны, обратная связь прозрачная, между прочим уведомления работают стабильно.",ru,medium,positive
10575,9,10,10,10,10,10,10,9,10,"преподаватели вовлечены, отвечают оперативно, қоса оқытушылар жедел жауап береді, түсіндіру айқын.",mixed,medium,positive
10576,8,10,9,10,7,10,8,9,10,"оқытушылар жедел жауап береді, түсіндіру нақты, в целом преподаватели вовлечены, отвечают точно по графику!",mixed,medium,positive
10577,8,9,8,8,10,8,7,8,9,"мини‑проекты и хакатоны помогают закреплять темы!, по итогу (888)",ru,medium,positive
10578,9,9,9,9,10,9,9,10,10,"материалы структурированы, Moodle удобна, между прочим мини‑проекты и задания помогают.",ru,medium,positive
10579,5,6,7,5,5,7,4,5,5,"подходы разные, в целом по шагам. без особых замечаний, кроме того мини‑проекты и задания помогают",ru,long,neutral
10580,10,10,10,10,9,9,7,9,7,"расписание без накладок, обратная связь понятная. расписание без накладок, коммуникация понятная, было бы полезно усилить практику и примеры!",ru,long,positive
10581,9,7,9,9,10,8,9,8,9,"процессы выстроены, логистика прозрачна., кроме того (177)",ru,short,positive
10582,4,6,4,5,5,6,6,5,6,"без особых замечаний, хотелось бы усилить практику и кейсы.",ru,medium,neutral
10583,10,9,9,9,8,9,10,9,10,"кесте тұрақты, хабарлау түсінікті, болғаны дұрыс практиканы және кейстер күшейту.",kz,medium,positive
10584,3,3,2,5,3,4,3,6,2,"очереди в лабораториях, времени не хватает, было бы полезно усилить практику и кейсы.",ru,medium,negative
10585,7,8,7,9,4,8,9,7,6,"ерекше ескертулер жоқ, күшейтсе жақсы практиканы және кейстер күшейту…",kz,medium,neutral
10586,9,10,10,10,10,8,10,9,9,"оқытушылар жедел жауап береді, түсіндіру айқын. кеңес алу оңай, байланыс ашық, жалпы мини‑жобалар пайдалы.",kz,long,positive
10587,2,1,1,1,3,2,2,1,2,"недостаточно практики и разборов, мало разборы ситуаций. ожидания оправдались не полностью, хотелось бы усилить практику и примеры…",ru,long,negative
10588,2,1,4,2,3,2,1,4,3,"недостаточно практики и разборов, мало примеры, можно усилить усилить практику и разборы ситуаций.",ru,medium,negative
10589,7,10,7,6,7,9,8,8,10,"сетку занятий без накладок, уведомления понятная. программа выглядит по современным требованиям, при этом мини‑проекты и задания помогают.",ru,long,positive
10590,9,10,10,10,9,8,10,10,9,"кеңес алу оңай, байланыс ашық! (127)",kz,short,positive
10591,10,9,10,8,9,9,10,9,8,"график пар без накладок, обратная связь понятная. расписание без накладок, обратная связь понятная, стоит подумать усилить практику и разборы ситуаций.",ru,long,positive
10592,4,6,3,3,4,5,4,3,3,"ерекше ескертулер жоқ, кейде мини‑жобалар пайдалы",kz,medium,neutral
10593,9,10,9,10,8,9,10,9,10,"материалдар реттелген, онлайн жүйе ыңғайлы, жалпы материалы структурированы, moodle удобна, при этом жобалар/проекттер пайдалы.",mixed,long,positive
10594,5,6,3,7,4,7,5,4,3,"переносы бывают, уведомляют заранее, по факту (746)",ru,short,neutral
10595,7,7,6,7,5,6,8,3,7,"зертханалық жұмыстар кесте бойынша, айтпақшы лабораторные идут по графику без сюрпризов",mixed,medium,neutral
10596,6,5,6,3,5,5,6,4,4,разборы ситуаций есть но точечно жалпы,mixed,short,neutral
10597,5,5,7,7,5,6,7,8,5,"өзгерістер болады, алдын ала хабарлайды. ерекше ескертулер жоқ, қарастырған жөн практиканы және жағдайлар күшейту, сонымен қатар мини‑жобалар пайдалы.",kz,long,neutral
10598,9,10,9,8,9,9,6,9,9,"оқытушылар жедел жауап береді, түсіндіру түсінікті, болғаны дұрыс практиканы және кейстер күшейту.",kz,medium,positive
10599,4,6,4,3,4,6,4,3,5,"без особых замечаний. без особых замечаний, имеет смысл усилить практику и примеры, замечу уведомления работают стабильно…",ru,long,neutral
10600,5,7,5,3,6,6,5,4,6,"манера объяснения зависит от предмета, замечу мини‑проекты и задания помогают.",ru,medium,neutral
10601,9,8,7,8,7,9,9,7,7,"паралар графигі тұрақты, хабарлау түсінікті, егер қысқаша кеңес алу оңай.",kz,medium,positive
10602,7,6,7,6,7,8,7,8,8,"без особых замечаний, кроме того уведомления работают стабильно…",ru,medium,neutral
10603,7,10,6,9,6,8,7,7,7,лаборатории ухоженные инструменты работают стабильно между.,ru,short,positive
10604,7,7,7,7,7,7,9,8,10,"разборы ситуаций есть, но точечно, в итоге мини‑проекты и задания помогают…",ru,medium,neutral
10605,5,6,7,7,6,4,6,3,5,"без особых замечаний, при этом уведомления работают стабильно",ru,medium,neutral
10606,4,5,4,5,6,5,4,6,6,"практика есть, формат привычный. без особых замечаний, при этом коммуникация работают стабильно, хотелось бы усилить практику и разборы ситуаций.",ru,long,neutral
10607,5,7,10,9,8,7,8,8,8,"сетку занятий без накладок, коммуникация понятная, стоит подумать усилить практику и разборы ситуаций.",ru,medium,positive
10608,6,4,6,5,6,5,5,6,6,"рабочая рутина, всё стабильно, было бы полезно усилить практику и примеры…",ru,medium,neutral
10609,10,10,8,6,10,8,10,7,10,"расписание без накладок, уведомления понятная, между прочим мини‑проекты и задания помогают.",ru,medium,positive
10610,10,9,8,10,9,7,8,10,9,"на практике много примеры, привязка к задачам индустрии есть. программа выглядит современно, в целом мини‑проекты и задания помогают.",ru,long,positive
10611,7,10,8,9,9,9,8,10,9,"программа выглядит по современным требованиям, хотелось бы усилить практику и разборы ситуаций.",ru,medium,positive
10612,7,5,4,6,5,5,6,4,2,"рабочая рутина, всё стабильно, в итоге уведомления работают стабильно",ru,medium,neutral
10613,9,9,10,7,6,7,6,10,7,"консультации доступны, коммуникация прозрачная. учиться комфортно, впечатления позитивные, в итоге мини‑проекты и задания помогают.",ru,long,positive
10614,3,1,3,1,1,1,1,2,1,"практика жетіспейді, нақты жағдайлар аз. зертханада кезек, уақыт тапшы, күшейтсе жақсы практиканы және кейстер күшейту.",kz,long,negative
10615,8,8,9,8,9,8,10,9,10,"оқытушылар жедел жауап береді, түсіндіру нақты, болғаны дұрыс практиканы және жағдайлар күшейту!",kz,medium,positive
10616,9,8,8,10,9,9,7,9,10,"преподаватели вовлечены, отвечают точно по графику, можно усилить усилить практику и кейсы!",ru,medium,positive
10617,8,8,9,7,7,9,8,9,9,"график пар без накладок, коммуникация понятная. учиться комфортно, впечатления позитивные, было бы полезно усилить практику и примеры.",ru,long,positive
10618,9,8,7,7,9,7,7,9,7,"тәжірибеде мысалдар жеткілікті, индустриямен байланыс бар, соңында кеңес алу оңай!",kz,medium,positive
10619,10,8,10,9,10,10,10,8,10,"процессы выстроены, логистика прозрачна. программа выглядит актуально, между прочим уведомления работают стабильно, имеет смысл усилить практику и разборы ситуаций.",ru,long,positive
10620,9,9,10,10,8,9,8,9,10,"мини‑жобалар тақырыптарды бекітеді, күшейтсе жақсы практиканы және кейстер күшейту.",kz,medium,positive
10621,7,8,8,7,7,10,7,9,7,"график пар без накладок, коммуникация понятная. сетку занятий без накладок, обратная связь понятная, по итогу мини‑проекты и задания помогают.",ru,long,positive
10622,7,5,5,5,6,6,6,2,4,"обратная связь в целом нормальная, замечу коммуникация работают стабильно.",ru,medium,neutral
10623,7,6,9,9,7,7,7,6,5,"рабочая рутина, всё стабильно, можно усилить усилить практику и примеры",ru,medium,neutral
10624,9,8,10,8,10,9,9,9,8,"график пар без накладок, уведомления понятная, в целом кесте тұрақты, хабарлау түсінікті.",mixed,medium,positive
10625,10,8,9,8,8,9,8,9,8,"процессы выстроены, логистика прозрачна. график пар без накладок, коммуникация понятная, между прочим коммуникация работают стабильно!",ru,long,positive
10626,9,9,6,8,6,8,6,6,8,"материалы структурированы, онлайн‑платформа удобна. учиться комфортно, впечатления позитивные, замечу коммуникация работают стабильно, в итоге обратная связь работают стабильно.",ru,long,positive
10627,7,7,8,9,6,8,5,7,8,"консультации доступны, коммуникация прозрачная. консультации доступны, уведомления прозрачная, стоит подумать усилить практику и разборы ситуаций.",ru,long,positive
10628,9,7,10,7,8,9,8,10,7,"объясняют наглядно, делятся опытом и лайфхаками. учиться комфортно, впечатления позитивные, хотелось бы усилить практику и примеры!",ru,long,positive
10629,1,2,3,4,2,3,5,4,3,"поздние уведомления, не всегда успеваем, замечу мини‑проекты и задания помогают.",ru,medium,negative
10630,10,8,9,9,9,9,10,10,9,"оқытушылар жедел жауап береді, түсіндіру нақты. оқытушылар жедел жауап береді, түсіндіру айқын, соңында мини‑жобалар пайдалы.",kz,long,positive
10631,4,3,5,2,3,4,3,4,3,"материалдар ескілеу, жағдайлар аз, жақсы болар еді практиканы және жағдайлар күшейту.",kz,medium,negative
10632,5,5,7,6,5,7,6,6,6,"рабочая рутина, всё стабильно, по факту уведомления работают стабильно",ru,medium,neutral
10633,7,7,8,5,8,7,7,8,8,"без особых замечаний, при этом коммуникация работают стабильно…",ru,medium,neutral
10634,5,5,5,5,4,4,6,6,8,"тренажёры доступны по расписанию. оборудование обычное, рабочее, имеет смысл усилить практику и примеры, по итогу коммуникация работают стабильно…",ru,long,neutral
10635,6,8,10,7,8,7,9,8,8,"презентациялар уақытында беріледі, қарастырған жөн практиканы және мысалдар күшейту!",kz,medium,positive
10636,8,8,8,8,7,10,8,8,9,"консультации доступны, обратная связь прозрачная, между прочим обратная связь работают стабильно.",ru,medium,positive
10637,8,9,9,10,10,6,8,8,7,"лаборатории ухоженные, тренажёры работают стабильно, кейде зертханалар ұқыпты, жабдық тұрақты жұмыс істейді!",mixed,medium,positive
10638,9,7,8,7,6,5,7,8,8,"учиться комфортно, впечатления позитивные. программа выглядит по современным требованиям, замечу мини‑проекты и задания помогают.",ru,long,positive
10639,10,10,8,9,9,9,8,10,8,"преподаватели вовлечены, отвечают без задержек, между прочим обратная связь работают стабильно!",ru,medium,positive
10640,5,6,6,5,5,7,5,5,6,"зертханалық жұмыстар кесте бойынша. ерекше ескертулер жоқ, сонымен қатар кеңес алу оңай, күшейтсе жақсы практиканы және мысалдар күшейту…",kz,long,neutral
10641,7,9,9,9,6,6,10,7,8,"программа выглядит современно, имеет смысл усилить практику и кейсы.",ru,medium,positive
10642,5,4,7,6,6,5,5,4,3,"жабдықтар орташа, тренажерлер қолжетімді. ерекше ескертулер жоқ, күшейтсе жақсы практиканы және кейстер күшейту, кейде мини‑жобалар пайдалы.",kz,long,neutral
10643,10,9,9,9,10,10,8,8,9,"преподаватели вовлечены, отвечают точно по графику. программа выглядит по современным требованиям, кроме того мини‑проекты и задания помогают.",ru,long,positive
10644,3,6,3,5,5,5,3,3,5,переносы бывают уведомляют заранее при этом,mixed,short,neutral
10645,7,8,8,8,7,6,9,9,10,"консультации доступны, коммуникация прозрачная, замечу коммуникация работают стабильно.",ru,medium,positive
10646,9,10,9,6,8,9,10,10,9,"оқу жайлы, әсері жақсы, қарастырған жөн практиканы және кейстер күшейту.",kz,medium,positive
10647,8,9,8,5,7,6,6,7,6,"кейсы есть, но точечно, хотелось бы усилить практику и кейсы",ru,medium,neutral
10648,10,10,10,10,10,10,8,10,9,"формат ыңғайлы, нұсқаулықтар айқын берілген, соңында мини‑жобалар пайдалы.",kz,medium,positive
10649,8,7,10,8,10,10,8,7,9,"формат практики удобный, инструкции наглядно и по делу!, в целом (251)",ru,medium,positive
10650,1,1,1,1,1,2,1,1,3,"часть инструменты устарела, нужен пересмотреть, имеет смысл усилить практику и разборы ситуаций.",ru,medium,negative
10651,9,7,7,8,9,9,10,9,8,презентации и примеры приходят точно по графику.,ru,medium,positive
10652,10,10,10,8,10,10,9,8,10,презентации и кейсы приходят вовремя.,ru,short,positive
10653,9,10,10,9,9,10,10,10,10,"на практике много разборы ситуаций, привязка к задачам рынка есть!, между прочим (157)",ru,medium,positive
10654,8,9,10,7,8,9,8,9,8,"тәжірибеде кейстер жеткілікті, индустриямен байланыс бар, в целом формат практики удобный, инструкции по шагам и по делу.",mixed,long,positive
10655,9,9,7,9,10,9,9,7,8,"презентации и кейсы приходят без задержек, кроме того мини‑проекты и задания помогают.",ru,medium,positive
10656,9,10,8,8,7,8,6,10,8,"на практике много кейсы, привязка к задачам индустрии есть!, кроме того (214)",ru,medium,positive
10657,7,10,8,9,8,8,7,8,7,"расписание без накладок, обратная связь понятная, замечу обратная связь работают стабильно.",ru,medium,positive
10658,6,5,6,6,6,6,6,5,4,обратная связь в целом нормальная (316),ru,short,neutral
10659,10,10,10,10,9,8,8,10,10,"оқу жайлы, әсері жақсы, жақсы болар еді практиканы және жағдайлар күшейту.",kz,medium,positive
10660,7,8,9,8,10,9,8,9,8,"мини‑проекты и хакатоны помогают закреплять темы., при этом (240)",ru,medium,positive
10661,10,10,8,9,10,9,10,10,10,"консультации доступны, обратная связь прозрачная, кроме того коммуникация работают стабильно.",ru,medium,positive
10662,10,9,8,10,9,8,9,8,10,"мини‑жобалар тақырыптарды бекітеді, соңында мини‑жобалар пайдалы.",kz,medium,positive
10663,8,9,8,10,9,9,10,10,9,"на практике много примеры, привязка к задачам отрасли есть. формат практики удобный, инструкции по шагам и по делу!",ru,long,positive
10664,3,6,4,3,4,3,3,4,4,"поздние уведомления, не всегда успеваем, по итогу мини‑проекты и задания помогают.",ru,medium,negative
10665,8,5,8,7,6,6,7,8,7,"лабораторные идут по графику без сюрпризов. лабораторные идут по графику без сюрпризов, в итоге мини‑проекты и задания помогают",ru,long,neutral
10666,10,9,7,10,10,9,9,8,9,"объясняют доходчиво, делятся опытом и лайфхаками, по итогу обратная связь работают стабильно.",ru,medium,positive
10667,1,3,4,3,3,3,4,4,3,"жоспар сәйкессіздік болады, хабар кешігеді, в целом в расписание бывают окна и накладки, жалпы жобалар/проекттер пайдалы.",mixed,long,negative
10668,6,5,9,7,4,4,5,6,7,без особых замечаний. (872),ru,short,neutral
10669,10,10,9,7,10,8,9,9,10,"учиться комфортно, впечатления позитивные, замечу уведомления работают стабильно.",ru,medium,positive
10670,7,8,5,8,9,8,8,7,5,"барлығы бірқалыпты., кейде (976)",kz,short,neutral
10671,6,10,10,9,9,8,8,8,10,"тәжірибеде жағдайлар жеткілікті, индустриямен байланыс бар.",kz,short,positive
10672,6,8,6,5,5,6,5,4,7,разборы ситуаций есть но точечно қоса,mixed,short,neutral
10673,5,4,7,6,6,7,4,5,3,"лабораторные идут по графику без сюрпризов, стоит подумать усилить практику и кейсы.",ru,medium,neutral
10674,9,7,9,8,7,10,10,8,10,"консультации доступны, уведомления прозрачная. учиться комфортно, впечатления позитивные, стоит подумать усилить практику и разборы ситуаций.",ru,long,positive
10675,2,3,4,1,1,4,1,4,2,"бағдарламалар ескі нұсқада, кейде часть инструменты устарела, нужен обновить, при этом жобалар/проекттер пайдалы, можно усилить практика/жабдықтар бойынша күшейту.",mixed,long,negative
10676,8,10,8,8,9,10,9,9,8,преподаватели вовлечены отвечают вовремя жалпы оқытушылар.,mixed,short,positive
10677,2,4,3,2,3,4,2,2,3,"жабдық ескі, жаңартуды қажет етеді керек, жалпы кеңес алу оңай…",kz,medium,negative
